lat;lon;mcc;mnc;ci;pci;earfcn;bandwidth;rsrp;rssi;rssnr;
55.01333590000000;82.95275190000000;250;2;138256652;327;1875;0;-78;0;-1;
55.01332400000000;82.95278130000000;250;2;138256652;327;1875;0;-78;0;-1;
55.01332400000000;82.95278130000000;250;2;138256652;327;1875;0;-78;0;-1;
55.01330380000000;82.95282390000000;250;2;138256652;327;1875;0;-78;0;-1;
55.01330380000000;82.95282390000000;250;2;138256652;327;1875;0;-78;0;-1;
55.01328620000000;82.95287140000001;250;2;138256652;327;1875;0;-78;0;-1;
55.01328620000000;82.95287140000001;250;2;138256652;327;1875;0;-78;0;-1;
55.04361650000000;82.92278360000000;250;2;138256652;327;1875;0;-78;0;-1;
55.01322850000000;82.95301630000000;250;2;138256652;241;1875;0;-74;0;0;
55.01322850000000;82.95301630000000;250;2;138256652;241;1875;0;-74;0;0;
55.01320910000000;82.95305180000000;250;2;138256652;241;1875;0;-74;0;0;
55.01320910000000;82.95305180000000;250;2;138256652;241;1875;0;-74;0;0;
55.01320130000000;82.95309190000000;250;2;138256652;241;1875;0;-74;0;0;
55.01320130000000;82.95309190000000;250;2;138256652;241;1875;0;-74;0;0;
55.01320910000000;82.95311070000000;250;2;138256652;241;1875;0;-74;0;0;
55.01320910000000;82.95311070000000;250;2;138256652;241;1875;0;-74;0;0;
55.01321110000000;82.95310840000000;250;2;138256652;241;1875;0;-74;0;0;
55.01321130000000;82.95310809999999;250;2;138256652;241;1875;0;-74;0;0;
55.01321130000000;82.95310790000001;250;2;138256652;241;1875;0;-74;0;0;
55.01321130000000;82.95310790000001;250;2;138256652;241;1875;0;-74;0;0;
55.01320900000000;82.95309740000000;250;2;138256652;241;1875;0;-74;0;0;
55.01320980000000;82.95309589999999;250;2;138256652;241;1875;0;-74;0;0;
55.01321690000000;82.95309420000000;250;2;138256652;241;1875;0;-74;0;0;
55.01321720000000;82.95309520000001;250;2;138256652;241;1875;0;-74;0;0;
55.01321720000000;82.95309520000001;250;2;138256652;241;1875;0;-74;0;0;
55.01321700000000;82.95309399999999;250;2;138256652;241;1875;0;-74;0;0;
55.01321700000000;82.95309399999999;250;2;138256652;241;1875;0;-74;0;0;
55.01320790000000;82.95309659999999;250;2;138256652;241;1875;0;-74;0;0;
55.01320790000000;82.95309659999999;250;2;138256652;241;1875;0;-74;0;0;
55.01320820000000;82.95309800000000;250;2;138256652;241;1875;0;-74;0;0;
55.01320820000000;82.95309800000000;250;2;138256652;241;1875;0;-74;0;0;
55.01320840000000;82.95309740000000;250;2;138256652;241;1875;0;-74;0;0;
55.01320840000000;82.95309740000000;250;2;138256652;241;1875;0;-74;0;0;
55.01321100000000;82.95310100000000;250;2;138256652;241;1875;0;-74;0;0;
55.01320830000000;82.95309650000000;250;2;138256652;241;1875;0;-74;0;0;
55.01320830000000;82.95309650000000;250;2;138256652;241;1875;0;-74;0;0;
55.01320820000000;82.95309600000000;250;2;138256652;241;1875;0;-74;0;0;
55.01319920000000;82.95310040000000;250;2;138256652;241;1875;0;-74;0;0;
55.01319310000000;82.95309850000000;250;2;138256652;241;1875;0;-74;0;0;
55.01318730000000;82.95309460000000;250;2;138256652;241;1875;0;-74;0;0;
55.01318560000000;82.95309200000000;250;2;138256652;241;1875;0;-74;0;0;
55.01318500000000;82.95309090000001;250;2;138256652;241;1875;0;-74;0;0;
55.01318470000000;82.95309030000000;250;2;138256652;241;1875;0;-74;0;0;
55.01318460000000;82.95308980000000;250;2;138256652;241;1875;0;-74;0;0;
55.01318460000000;82.95308950000000;250;2;138256652;241;1875;0;-74;0;0;
55.01318450000000;82.95308930000000;250;2;138256652;241;1875;0;-74;0;0;
55.01318450000000;82.95308919999999;250;2;138256652;241;1875;0;-74;0;0;
55.01318450000000;82.95308910000000;250;2;138256652;241;1875;0;-74;0;0;
55.01318450000000;82.95308910000000;250;2;138256652;241;1875;0;-74;0;0;
55.01318450000000;82.95308900000001;250;2;138256652;241;1875;0;-74;0;0;
55.01318450000000;82.95308900000001;250;2;138256652;241;1875;0;-74;0;0;
55.01318450000000;82.95308900000001;250;2;138256652;241;1875;0;-74;0;0;
55.01318450000000;82.95308900000001;250;2;138256652;241;1875;0;-74;0;0;
55.01318450000000;82.95308900000001;250;2;138256652;241;1875;0;-74;0;0;
55.01319330000000;82.95310069999999;250;2;138256652;241;1875;0;-74;0;0;
55.01319430000000;82.95310240000001;250;2;138256652;241;1875;0;-74;0;0;
55.01319250000000;82.95310090000000;250;2;138256652;241;1875;0;-74;0;0;
55.01319250000000;82.95309930000001;250;2;138256652;241;1875;0;-74;0;0;
55.01319240000000;82.95309890000000;250;2;138256652;241;1875;0;-74;0;0;
55.01319240000000;82.95309870000000;250;2;138256652;241;1875;0;-74;0;0;
55.01319240000000;82.95309860000000;250;2;138256652;241;1875;0;-74;0;0;
55.01319240000000;82.95309860000000;250;2;138256652;241;1875;0;-74;0;0;
55.01319240000000;82.95309860000000;250;2;138256652;241;1875;0;-74;0;0;
55.01319240000000;82.95309860000000;250;2;138256652;241;1875;0;-74;0;0;
55.01319000000000;82.95308910000000;250;2;138256652;241;1875;0;-74;0;0;
55.01318910000000;82.95308420000001;250;2;138256652;241;1875;0;-74;0;0;
55.01319100000000;82.95307980000000;250;2;138256652;241;1875;0;-74;0;0;
55.01319370000000;82.95307870000001;250;2;138256652;241;1875;0;-74;0;0;
55.01319650000000;82.95307579999999;250;2;138256652;241;1875;0;-74;0;0;
55.01319780000000;82.95308009999999;250;2;138256652;241;1875;0;-74;0;0;
