P_Tx_dBm;L_cable;shadow_std;lat;lon;ci;distance;rsrpPhone;rsrpLos;rsrpNlos;rsrpLosLib;rsrpNlosLib;diff_nlos;diff_nlos_lib
40;3;8;55.013217;82.953094;138256652;158.765067099577;-74;-44.9685806900267;-80.2182248706305;-44.9685731307788;-60.2006168791375;6.21822487063045;-13.7993831208625
40;3;8;55.013217;82.953094;138256652;158.765067099577;-74;-44.9685806900267;-58.1449962499628;-44.9685731307788;-79.2459520784731;-15.8550037500372;5.24595207847307
40;3;8;55.0132079;82.9530966;138256652;159.054589360215;-74;-44.9856157224748;-69.560572063306;-44.985607130315;-70.3377819754619;-4.43942793669403;-3.66221802453812
40;3;8;55.0132079;82.9530966;138256652;159.054589360215;-74;-44.9856157224748;-81.2650915254059;-44.985607130315;-70.7612408859242;7.26509152540588;-3.2387591140758
40;3;8;55.0132082;82.953098;138256652;159.138913976776;-74;-44.9905716683432;-71.6030142354465;-44.9905631097979;-59.4584953285671;-2.39698576455353;-14.5415046714329
40;3;8;55.0132082;82.953098;138256652;159.138913976776;-74;-44.9905716683432;-71.2240913288123;-44.9905631097979;-64.7776660162187;-2.77590867118766;-9.22233398378128
40;3;8;55.0132084;82.9530974;138256652;159.09815696285;-74;-44.9881766016657;-78.6494321975442;-44.9881680659247;-69.0915822339614;4.64943219754424;-4.90841776603861
40;3;8;55.0132084;82.9530974;138256652;159.09815696285;-74;-44.9881766016657;-59.2785224573395;-44.9881680659247;-78.8483873846851;-14.7214775426605;4.84838738468508
40;3;8;55.013211;82.953101;138256652;159.289664755169;-74;-44.9994253666415;-92.1700477599564;-44.9994171246641;-67.1762097182451;18.1700477599564;-6.8237902817549
40;3;8;55.0132083;82.9530965;138256652;159.042638802802;-74;-44.9849131580705;-72.4157536869711;-44.9849046112331;-51.0043235800728;-1.58424631302891;-22.9956764199272
40;3;8;55.0132083;82.9530965;138256652;159.042638802802;-74;-44.9849131580705;-66.7676023563875;-44.9849046112331;-63.1182187526896;-7.23239764361254;-10.8817812473104
40;3;8;55.0132082;82.953096;138256652;159.012421120001;-74;-44.9831364574508;-69.9542537294454;-44.9831278994163;-70.7518413209674;-4.04574627055456;-3.24815867903263
40;3;8;55.0131992;82.9531004;138256652;159.420121200538;-74;-45.0070806921532;-66.730659384605;-45.007071115566;-69.9118807974903;-7.269340615395;-4.08811920250974
40;3;8;55.0131931;82.9530985;138256652;159.391341313667;-74;-45.0053923729927;-61.7429924654672;-45.0053821097206;-62.3370117019623;-12.2570075345328;-11.6629882980377
40;3;8;55.0131873;82.9530946;138256652;159.234591286508;-74;-44.9961917937825;-81.8631380215676;-44.9961808802439;-80.4929547224407;7.86313802156764;6.4929547224407
40;3;8;55.0131856;82.953092;138256652;159.0972413198;-74;-44.9881227875885;-79.2253320916052;-44.9881116843776;-63.8605480788008;5.22533209160518;-10.1394519211992
40;3;8;55.013185;82.9530909;138256652;159.037323893029;-74;-44.9846006822324;-55.6430749411916;-44.9845895121959;-67.3158007335899;-18.3569250588084;-6.68419926641013
40;3;8;55.0131847;82.9530903;138256652;159.00422362944;-74;-44.9826544161657;-77.9303450073654;-44.9826432127452;-67.7561887272127;3.93034500736542;-6.24381127278726
40;3;8;55.0131846;82.9530898;138256652;158.974261443161;-74;-44.9808923317988;-75.2693112225842;-44.9808811173646;-79.3533324539112;1.26931122258421;5.35333245391124
40;3;8;55.0131846;82.9530895;138256652;158.955330656437;-74;-44.9797788431671;-68.0447066387132;-44.9797676288457;-61.8206569350252;-5.95529336128682;-12.1793430649748
40;3;8;55.0131845;82.9530893;138256652;158.944300780344;-74;-44.9791300191228;-76.8892789940603;-44.9791187936761;-72.877293508902;2.88927899406028;-1.122706491098
40;3;8;55.0131845;82.9530892;138256652;158.93799060135;-74;-44.9787588082771;-61.4455506038292;-44.9787475828681;-55.7011350034708;-12.5544493961708;-18.2988649965292
40;3;8;55.0131845;82.9530891;138256652;158.931680429197;-74;-44.9783875837264;-61.2351674213433;-44.978376358355;-71.1063395285328;-12.7648325786567;-2.89366047146723
40;3;8;55.0131845;82.9530891;138256652;158.931680429197;-74;-44.9783875837264;-72.5777396928095;-44.978376358355;-63.0572154845717;-1.4222603071905;-10.9427845154283
40;3;8;55.0131845;82.953089;138256652;158.925370261478;-74;-44.978016345328;-81.5924410116271;-44.9780051199943;-70.4895881993824;7.59244101162706;-3.51041180061765
