P_Tx_dBm;L_cable;shadow_std;mean_diff_nlos;mean_diff_nlos_lib
20;3;8;19.9596413732576;19.5500394765953
21;3;8;19.6716680770185;18.9681470793254
22;3;8;17.6449214130635;18.2548600888749
23;3;8;17.2563963594683;18.693979884959
24;3;8;16.5760253919319;16.956812282402
25;3;8;15.2667402216675;15.4246660848446
26;3;8;13.7564315083288;13.6499532670004
27;3;8;11.3771394502534;13.2616622940292
28;3;8;10.7175726336316;12.4748652427089
29;3;8;10.9601246565254;11.0865189102445
30;3;8;10.0844748592449;11.0008304406701
31;3;8;8.82566420562002;8.52786188742957
32;3;8;9.14514887645669;8.20407228374467
33;3;8;7.68113617234894;8.7267114097035
34;3;8;6.93485024039091;5.73581207543902
35;3;8;4.62353541615775;4.70791717810481
36;3;8;4.9439484949468;4.33551025147693
37;3;8;3.82878006530989;4.24070664260279
38;3;8;3.00733421050468;2.06329530084225
39;3;8;2.41493887649951;1.491853962183
40;3;8;0.656080909545673;0.688125907684992
